medicamento_id;principio_ativo;apresentacao;via;reconstituicao_diluente;reconstituicao_volume_ml;reconstituicao_concentracao;diluicao_solucao;diluicao_volume_min_ml;concentracao_maxima;tempo_infusao_min;velocidade_max;bolus_permitido;estabilidade_ta_h;estabilidade_refrig_h;fotossensivel;acesso;ajuste_renal;ajuste_renal_regra;incompatibilidades;alta_vigilancia;observacoes;fonte;data_revisao;revisor_crf;status;rxcui
;acido tranexamico 50mg/ml (ampola 5ml);Ácido Tranexâmico 50mg/mL (ampola 5mL);EV;;;;SF0.9,SG5;;;30min;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;
@Adenosina;adenosina 3mg/ml (ampola 2ml);Adenosina 3mg/mL (ampola 2mL);EV;;;;SF0.9,SG5;50;;bolus;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;296
;alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;Alfaepoetina (frasco-ampola 1mL) 10.000UI/mL;EV,SC;;;;;;;1min;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;
;alprostadil 250mcg/ml (ampola 1ml);Alprostadil 250mcg/mL (ampola 1mL);EV;;;;SF0.9,SG5;100;;;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;
;alprostadil 500mcg/ml (ampola 1ml) flukka (manipulado);Alprostadil 500mcg/mL (ampola 1mL) FLUKKA (manipulado);EV;;;;SF0.9,SG5;100;;;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;
@Alteplase;alteplase 50mg (frasco-ampola);Alteplase 50mg (frasco-ampola);EV,IM;;;;SF0.9,SG5;50;;30min;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;8410
@Amoxicilina;amoxicilina 500mg + clavulanato 100mg (frasco-ampola);AMOXicilina 500mg + CLAVULANATO 100mg (frasco-ampola);EV;;;;SF0.9,AD;10;;30min;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;723
@Ampicilina;ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);AMPicilina 1.000mg + SULBACTAM 500mg (frasco-ampola);EV,IM;;;;SF0.9,SG5,AD;29;;15min;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;733
@Ampicilina;ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;AMPicilina 2.000mg + SULBACTAM 1.000mg (frasco-ampola) FRESENIUS EUGIA 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6mL AD Vol final 8mL;EV,IM;;;;SF0.9,SG5,AD;29;;15min;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;733
;anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);Anfotericina B COMPLEXO LIPÍDICO 5mg/mL (frasco-ampola 20mL);EV;;;;SF0.9,SG5,AD;20;;;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;
@Anfotericina B lipossomal;anfotericina b lipossomal 50mg (frasco- ampola);Anfotericina B LIPOSSOMAL 50mg (frasco- ampola);EV;;;;SF0.9,SG5,AD;12;;;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;732
;anidulafungina 100mg (frasco-ampola);Anidulafungina 100mg (frasco-ampola);EV;;;;SF0.9,SG5,AD;30;;90min;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;
@Atracurio;atracurio 10mg/ml (ampola 5ml);Atracúrio 10mg/mL (ampola 5mL);EV,IM,SC;;;;SF0.9,SG5,AD;10;;lento;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;1218
@Azitromicina;azitromicina 500mg (frasco-ampola);Azitromicina 500mg (frasco-ampola);EV,IM;;;;SF0.9,AD;250;;bolus;;;;;;;;;;;;HU-UFGD_v3;;;rascunho;18631
