principio_ativo;principio_ativo_norm;apresentacao;concentracao;setor_uso;rxcui;anvisa_registro;anvisa_produto;anvisa_situacao;anvisa_empresa;anvisa_ativos;status
Adrenalina (epinefrina);adrenalina epinefrina;Ampola 1 mL;1 mg/mL;Emergencia, UTI;1249590;112080053;LQFEX- EPINEFRINA;Inativo;00394452000103 - LABORAT�RIO QU�MICO FARMAC�UTICO DO EX�RCITO;10;rxcui_ok anvisa_ok
Noradrenalina (norepinefrina);noradrenalina norepinefrina;Ampola 4 mL;1 mg/mL;Emergencia, UTI;7508;112080053;LQFEX- EPINEFRINA;Inativo;00394452000103 - LABORAT�RIO QU�MICO FARMAC�UTICO DO EX�RCITO;10;rxcui_ok anvisa_ok
Dobutamina;dobutamina;Ampola 20 mL;5 mg/mL;UTI;203121;123610013;DOBUTIL;Inativo;64711500000114 - UCB BIOPHARMA LTDA.;2;rxcui_ok anvisa_ok
Dopamina;dopamina;Ampola 5 mL;5 mg/mL;UTI, Emergencia;3628;103870079;CLORIDRATO DE DOPAMINA;Ativo;17174657000178 - HYPOFARMA - INSTITUTO DE HYPODERMIA E FARM�CIA LTDA;23;rxcui_ok anvisa_ok
Vasopressina;vasopressina;Ampola 1 mL;20 UI/mL;UTI;11149;109740190;ENCRISE;Ativo;49475833000106 - BIOLAB SANUS FARMAC�UTICA LTDA;1;rxcui_ok anvisa_ok
Milrinona;milrinona;Ampola 10 mL;1 mg/mL;UTI;155120;183260321;PRIMACOR;Ativo;10588595001092 - SANOFI MEDLEY FARMAC�UTICA LTDA.;6;rxcui_ok anvisa_ok
Nitroglicerina;nitroglicerina;Ampola 5 mL;5 mg/mL;UTI, Emergencia;4917;107120067;NITROLONG;Inativo;29961620000179 - DOVER FARMACEUTICA LTDA;6;rxcui_ok anvisa_ok
Nitroprussiato de sodio;nitroprussiato de sodio;Frasco 50 mg po;50 mg;UTI;7476;;;;;0;rxcui_ok
Amiodarona;amiodarona;Ampola 3 mL;50 mg/mL;Emergencia, UTI;203114;100470207;COR MIO;Inativo;61286647000116 - SANDOZ DO BRASIL IND�STRIA FARMAC�UTICA LTDA;39;rxcui_ok anvisa_ok
Atropina;atropina;Ampola 1 mL;0,25 mg/mL;Emergencia;1223;106460137;HORMOTROP;Ativo;61282661000141 - LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA;80;rxcui_ok anvisa_ok
Adenosina;adenosina;Frasco 2 mL;6 mg/mL;Emergencia;296;100330038;ADENOCARD;Inativo;61230314000175 - LIBBS FARMAC�UTICA LTDA;6;rxcui_ok anvisa_ok
Esmolol;esmolol;Ampola 10 mL;10 mg/mL;UTI;203222;102980470;BREVIBLOC DILU�DO;Ativo;44734671000151 - CRIST�LIA PRODUTOS QU�MICOS FARMAC�UTICOS LTDA.;3;rxcui_ok anvisa_ok
Metoprolol;metoprolol;Ampola 5 mL;1 mg/mL;UTI, Emergencia;221124;151430039;SUCCINATO DE METOPROLOL;Ativo;03978166000175 - DR. REDDYS FARMAC�UTICA DO BRASIL LTDA;38;rxcui_ok anvisa_ok
Lidocaina;lidocaina;Ampola 20 mL;20 mg/mL;Emergencia, UTI;6387;104970111;LIDOJET;Ativo;60665981000118 - UNI�O QU�MICA FARMAC�UTICA NACIONAL S/A;139;rxcui_ok anvisa_ok
Procainamida;procainamida;Ampola 10 mL;100 mg/mL;UTI;8700;104150039;AXOL;Inativo;33790981000177 - LABORATORIO HANEMANIANA VERITAS LTDA;1;rxcui_ok anvisa_ok
Verapamil;verapamil;Ampola 2 mL;2,5 mg/mL;Emergencia;11170;105740037;NEOPAMIL;Inativo;16921603000166 - NOVO NORDISK PRODU��O FARMAC�UTICA DO BRASIL LTDA;5;rxcui_ok anvisa_ok
Diltiazem;diltiazem;Ampola 10 mL;5 mg/mL;UTI;203211;104300023;AKALURET;Inativo;42457796000156 - DIFFUCAP - CHEMOBR�S QU�MICA E FARMAC�UTICA LTDA;31;rxcui_ok anvisa_ok
Digoxina;digoxina;Ampola 2 mL;0,25 mg/mL;UTI, Clinica;3407;101620135;DARROWCOR;Inativo;33051491000159 - LABORAT�RIOS PIERRE FABRE DO BRASIL LTDA;56;rxcui_ok anvisa_ok
Furosemida;furosemida;Ampola 2 mL;10 mg/mL;Emergencia, UTI;4603;106240087;DIUREMIL;Inativo;29333218000140 - IND�STRIA FARMAC�UTICA MILIAN LTDA;79;rxcui_ok anvisa_ok
Cloreto de potassio 10%;cloreto de potassio 10;Ampola 10 mL;10%;UTI, Emergencia;8591;101910298;LIPOSERON;Inativo;61517397000188 - THERASKIN FARMACEUTICA LTDA.;40;rxcui_ok anvisa_ok
Cloreto de potassio 19,1%;cloreto de potassio 19 1;Ampola 10 mL;19,1%;UTI, Emergencia;8591;101910298;LIPOSERON;Inativo;61517397000188 - THERASKIN FARMACEUTICA LTDA.;40;rxcui_ok anvisa_ok
Fosfato de potassio;fosfato de potassio;Ampola 10 mL;2 mEq/mL;UTI;34322;;;;;0;rxcui_ok
