principio_ativo;campo;motivo;fonte
acido tranexamico 50mg/ml (ampola 5ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);diluicao_volume_min_ml;volume de diluição não capturado pelo parser;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
acido tranexamico 50mg/ml (ampola 5ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
adenosina 3mg/ml (ampola 2ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;diluicao_solucao;solução de diluição não informada no guia (via não é EV ou sem diluição);HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;diluicao_volume_min_ml;volume de diluição não capturado pelo parser;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
alfaepoetina (frasco-ampola 1ml) 10.000ui/ml;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);tempo_infusao_min;tempo de infusão não informado ou administração em bolus;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
alprostadil 250mcg/ml (ampola 1ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
